,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,31.8.2026,,Datum der Messung,,,,Namen der StudentInnen:,,,Name,"Jonathan Giessen, Theo Senoner",,,,,
,500,V,Spannung des Kondensators U,,,,,,,,,,,,,
,100285,Pa,Luftdruck p,,,,Versuchsaufbau:,,,B,"Alles rote ist zu ändern, der Rest ",,,,,
,22.5,oC,Zimmertemperatur T ,,,,,,,,wird automatisch berechnet.,,,,,
,6.00E-03,m,Abstand der Kondensatorplatten d,,,,,,,,,,,,,
,5.00E-05,m ,1 Skt,,,,C1 =,1.9984E-10,VAs (s/m)**1.5,,,,,,,
,3.14159,,Zahl p,,,,C2 =,9.5301E-09,ms,,,,,,,
,1.00E-19,As,Benutzte Ladungseinheit q0,,,,r = r1-r2,8.7121E+02,kg/m³,,,,,,,
,1.81E-05,Ns/m²,Viskosität der Luft h0  (unkorrigiert),,,,b =,7.7800E-03,Pa m,,,,,,,
,8.725E+02,kg/m³,Dichte des Öls r1,,,,,,,,,,,,,
,1.29E+00,kg/m³,Dichte der Luft r2,,,,,,,,,,,,,
,9.81,m/s²,Erdbeschleunigung g,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,2.400,,Oberere Grenze der Ladung für einfach geladene Tröpfchen,,,,,,f,  Korrekturfaktor für h,,,,,,
,1.583,,Mittelwert Q1m der einfach mit Q1 geladenen Tröpfchen,,,,,,Q,  Ladung der gemessenen Tröpfchen,,,,,,
,,,,,,,,,Q1,  Ladung der einfach geladenen Tröpchen,,,,,,
,1.571,,Mittelwert Q/n für Tröpfchen mit n<6,,,,,,n,  nächste ganze Zahl von Q/Q1,,,,,,
,20,,Zahl der Tröpfchen mit n<6,,,,,,,,,,,,,
,0.087,,Standardabweichung einer Einzelmessung,,,,,,,,,,,,,
,0.020,,Standardabweichung des Mittelwertes,,,,,,,,,,,,,
,0.9010,,Mittelwert von f für Tröpfchen mit n<6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nr.,Sinken,t1,Steigen,t2,v1,v2,v1+v2,R0,f,Q,Q1,Q/Q1m,n,Q/n,f,
,[Skt],[s],[Skt],[s],[m/s],[m/s],[m/s],[m],,,,,,(n<6),(n<6),
,,,,,,,,,,,,,,,,
1,10,5.480,10,10.180,9.124E-05,4.912E-05,1.404E-04,9.325E-07,0.923,4.753, ,3.003,3,1.584,0.923,1
2,10,5.450,10,10.520,9.174E-05,4.753E-05,1.393E-04,9.351E-07,0.923,4.731, ,2.989,3,1.577,0.923,1
3,10,5.400,10,10.230,9.259E-05,4.888E-05,1.415E-04,9.394E-07,0.924,4.830, ,3.052,3,1.610,0.924,1
4,10,5.350,10,10.150,9.346E-05,4.926E-05,1.427E-04,9.438E-07,0.924,4.898, ,3.095,3,1.633,0.924,1
5,20,10.850,20,20.730,9.217E-05,4.824E-05,1.404E-04,9.372E-07,0.924,4.782, ,3.021,3,1.594,0.924,1
6,10,10.150,10,6.150,4.926E-05,8.130E-05,1.306E-04,6.852E-07,0.898,3.118, ,1.970,2,1.559,0.898,1
7,10,9.470,10,6.240,5.280E-05,8.013E-05,1.329E-04,7.093E-07,0.901,3.304, ,2.087,2,1.652,0.901,1
8,10,10.520,10,6.330,4.753E-05,7.899E-05,1.265E-04,6.730E-07,0.897,2.960, ,1.870,2,1.480,0.897,1
9,10,10.610,10,6.640,4.713E-05,7.530E-05,1.224E-04,6.702E-07,0.896,2.850, ,1.801,2,1.425,0.896,1
10,20,19.630,20,12.920,5.094E-05,7.740E-05,1.283E-04,6.968E-07,0.900,3.125, ,1.974,2,1.562,0.900,1
11,10,10.830,10,4.920,4.617E-05,1.016E-04,1.478E-04,6.633E-07,0.895,3.400, ,2.148,2,1.700,0.895,1
12,10,12.420,10,4.910,4.026E-05,1.018E-04,1.421E-04,6.194E-07,0.889,3.019, ,1.907,2,1.509,0.889,1
13,10,12.580,10,4.450,3.975E-05,1.124E-04,1.521E-04,6.155E-07,0.888,3.207, ,2.027,2,1.604,0.888,1
14,10,12.380,10,5.030,4.039E-05,9.940E-05,1.398E-04,6.204E-07,0.889,2.976, ,1.880,2,1.488,0.889,1
15,10,12.700,10,4.730,3.937E-05,1.057E-04,1.451E-04,6.125E-07,0.888,3.042, ,1.922,2,1.521,0.888,1
16,20,11.270,20,2.050,8.873E-05,4.878E-04,5.765E-04,9.196E-07,0.922,19.223, ,12.145,12, , , 
17,20,11.340,20,2.060,8.818E-05,4.854E-04,5.736E-04,9.167E-07,0.922,19.059, ,12.042,12, , , 
18,20,11.240,20,2.030,8.897E-05,4.926E-04,5.816E-04,9.208E-07,0.922,19.420, ,12.270,12, , , 
19,20,11.310,20,2.000,8.842E-05,5.000E-04,5.884E-04,9.179E-07,0.922,19.580, ,12.371,12, , , 
20,20,11.050,20,2.070,9.050E-05,4.831E-04,5.736E-04,9.287E-07,0.923,19.336, ,12.217,12, , , 
21,10,3.420,10,5.070,1.462E-04,9.862E-05,2.448E-04,1.180E-06,0.938,10.754, ,6.794,7, , , 
22,10,3.400,10,5.040,1.471E-04,9.921E-05,2.463E-04,1.184E-06,0.938,10.852, ,6.856,7, , , 
23,10,3.300,10,4.830,1.515E-04,1.035E-04,2.550E-04,1.202E-06,0.939,11.423, ,7.217,7, , , 
24,10,3.390,10,4.930,1.475E-04,1.014E-04,2.489E-04,1.186E-06,0.939,10.986, ,6.941,7, , , 
25,10,3.370,10,5.100,1.484E-04,9.804E-05,2.464E-04,1.189E-06,0.939,10.911, ,6.894,7, , , 
26,10,11.450,10,18.220,4.367E-05,2.744E-05,7.111E-05,6.451E-07,0.893,1.584,1.584,1.001,1,1.584,0.893,1
27,10,10.610,10,16.410,4.713E-05,3.047E-05,7.759E-05,6.702E-07,0.896,1.806,1.806,1.141,1,1.806,0.896,1
28,10,11.850,10,18.190,4.219E-05,2.749E-05,6.968E-05,6.341E-07,0.891,1.521,1.521,0.961,1,1.521,0.891,1
29,10,12.180,10,18.660,4.105E-05,2.680E-05,6.785E-05,6.255E-07,0.890,1.458,1.458,0.921,1,1.458,0.890,1
30,20,23.420,30,54.500,4.270E-05,2.752E-05,7.022E-05,6.379E-07,0.892,1.544,1.544,0.975,1,1.544,0.892,1
31,,,,, , , , , , , , , , , , 
32,,,,, , , , , , , , , , , , 
33,,,,, , , , , , , , , , , , 
34,,,,, , , , , , , , , , , , 
35,,,,, , , , , , , , , , , , 
36,,,,, , , , , , , , , , , , 
37,,,,, , , , , , , , , , , , 
38,,,,, , , , , , , , , , , , 
39,,,,, , , , , , , , , , , , 
40,,,,, , , , , , , , , , , , 
41,,,,, , , , , , , , , , , , 
42,,,,, , , , , , , , , , , , 
43,,,,, , , , , , , , , , , , 
44,,,,, , , , , , , , , , , , 
45,,,,, , , , , , , , , , , , 
46,,,,, , , , , , , , , , , , 
47,,,,, , , , , , , , , , , , 
48,,,,, , , , , , , , , , , , 
49,,,,, , , , , , , , , , , , 
50,,,,, , , , , , , , , , , , 
51,,,,, , , , , , , , , , , , 
52,,,,, , , , , , , , , , , , 
53,,,,, , , , , , , , , , , , 
54,,,,, , , , , , , , , , , , 
55,,,,, , , , , , , , , , , , 
56,,,,, , , , , , , , , , , , 
57,,,,, , , , , , , , , , , , 
58,,,,, , , , , , , , , , , , 
59,,,,, , , , , , , , , , , , 
60,,,,, , , , , , , , , , , , 
61,,,,, , , , , , , , , , , , 
62,,,,, , , , , , , , , , , , 
63,,,,, , , , , , , , , , , , 
64,,,,, , , , , , , , , , , , 
65,,,,, , , , , , , , , , , , 
66,,,,, , , , , , , , , , , , 
67,,,,, , , , , , , , , , , , 
68,,,,, , , , , , , , , , , , 
69,,,,, , , , , , , , , , , , 
70,,,,, , , , , , , , , , , , 
71,,,,, , , , , , , , , , , , 
72,,,,, , , , , , , , , , , , 
73,,,,, , , , , , , , , , , , 
74,,,,, , , , , , , , , , , , 
75,,,,, , , , , , , , , , , , 
76,,,,, , , , , , , , , , , , 
77,,,,, , , , , , , , , , , , 
78,,,,, , , , , , , , , , , , 
79,,,,, , , , , , , , , , , , 
80,,,,, , , , , , , , , , , , 
81,,,,, , , , , , , , , , , , 
82,,,,, , , , , , , , , , , , 
83,,,,, , , , , , , , , , , , 
84,,,,, , , , , , , , , , , , 
85,,,,, , , , , , , , , , , , 
86,,,,, , , , , , , , , , , , 
87,,,,, , , , , , , , , , , , 
88,,,,, , , , , , , , , , , , 
89,,,,, , , , , , , , , , , , 
90,,,,, , , , , , , , , , , , 
91,,,,, , , , , , , , , , , , 
92,,,,, , , , , , , , , , , , 
93,,,,, , , , , , , , , , , , 
94,,,,, , , , , , , , , , , , 
95,,,,, , , , , , , , , , , , 
96,,,,, , , , , , , , , , , , 
97,,,,, , , , , , , , , , , , 
98,,,,, , , , , , , , , , , , 
99,,,,, , , , , , , , , , , , 
100,,,,, , , , , , , , , , , , 
