Nr., Sinken, t1    , Steigen, t2    , v1       , v2       , v1+v2    , R0       , f    , Q     , Q1   , Q/Q1m , n , Q/n  , f    , 
   , [Skt] , [s]   , [Skt]  , [s]   , [m/s]    , [m/s]    , [m/s]    , [m]      ,      ,       ,      ,       ,   , (n<6), (n<6),  
   ,       ,       ,        ,       ,          ,          ,          ,          ,      ,       ,      ,       ,   ,      ,      ,  
  1, 10    , 10.180, 10     , 5.480 , 9.124E-05, 4.912E-05, 1.404E-04, 9.325E-07, 0.923,  4.753,      ,  3.003,  3, 1.584, 0.923, 1
  2, 10    , 10.520, 10     , 5.450 , 9.174E-05, 4.753E-05, 1.393E-04, 9.351E-07, 0.923,  4.731,      ,  2.989,  3, 1.577, 0.923, 1
  3, 10    , 10.230, 10     , 5.400 , 9.259E-05, 4.888E-05, 1.415E-04, 9.394E-07, 0.924,  4.830,      ,  3.052,  3, 1.610, 0.924, 1
  4, 10    , 10.150, 10     , 5.350 , 9.346E-05, 4.926E-05, 1.427E-04, 9.438E-07, 0.924,  4.898,      ,  3.095,  3, 1.633, 0.924, 1
  5, 20    , 20.730, 20     , 10.850, 9.217E-05, 4.824E-05, 1.404E-04, 9.372E-07, 0.924,  4.782,      ,  3.021,  3, 1.594, 0.924, 1
  6, 10    , 10.15 , 10     , 6.15  , 4.926E-05, 8.130E-05, 1.306E-04, 6.852E-07, 0.898,  3.118,      ,  1.97 ,  2, 1.559, 0.898, 1
  7, 10    , 9.47  , 10     , 6.24  , 5.280E-05, 8.013E-05, 1.329E-04, 7.093E-07, 0.901,  3.304,      ,  2.087,  2, 1.652, 0.901, 1
  8, 10    , 10.52 , 10     , 6.33  , 4.753E-05, 7.899E-05, 1.265E-04, 6.730E-07, 0.897,  2.96 ,      ,  1.87 ,  2, 1.48 , 0.897, 1
  9, 10    , 10.61 , 10     , 6.64  , 4.713E-05, 7.530E-05, 1.224E-04, 6.702E-07, 0.896,  2.85 ,      ,  1.801,  2, 1.425, 0.896, 1
 10, 20    , 19.63 , 20     , 12.92 , 5.094E-05, 7.740E-05, 1.283E-04, 6.968E-07, 0.9  ,  3.125,      ,  1.974,  2, 1.562, 0.9  , 1
 11, 10    , 10.83 , 10     , 4.92  , 4.617E-05, 1.016E-04, 1.478E-04, 6.633E-07, 0.895,  3.4  ,      ,  2.148,  2, 1.7  , 0.895, 1
 12, 10    , 12.42 , 10     , 4.91  , 4.026E-05, 1.018E-04, 1.421E-04, 6.194E-07, 0.889,  3.019,      ,  1.907,  2, 1.509, 0.889, 1
 13, 10    , 12.58 , 10     , 4.45  , 3.975E-05, 1.124E-04, 1.521E-04, 6.155E-07, 0.888,  3.207,      ,  2.027,  2, 1.604, 0.888, 1
