31.8.2026,      , Datum der Messung                                       , , , , Namen der StudentInnen:,           ,               , Name                                 , "Jonathan Giessen, Theo Senoner"     , , , 
500      , V    , Spannung des Kondensators U                             , , , ,                        ,           ,               ,                                      ,                                      , , , 
100285   , Pa   , Luftdruck p                                             , , , , Versuchsaufbau:        ,           ,               , B                                    , "Alles rote ist zu ändern, der Rest ", , , 
22.5     , oC   , Zimmertemperatur T                                      , , , ,                        ,           ,               ,                                      , wird automatisch berechnet.          , , , 
6.00E-03 , m    , Abstand der Kondensatorplatten d                        , , , ,                        ,           ,               ,                                      ,                                      , , , 
5.00E-05 , m    , 1 Skt                                                   , , , , C1 =                   , 1.9984E-10, VAs (s/m)**1.5,                                      ,                                      , , , 
3.14159  ,      , Zahl p                                                  , , , , C2 =                   , 9.5301E-09, ms            ,                                      ,                                      , , , 
1.00E-19 , As   , Benutzte Ladungseinheit q0                              , , , , r = r1-r2              , 8.7121E+02, kg/m³         ,                                      ,                                      , , , 
1.81E-05 , Ns/m², Viskosität der Luft h0  (unkorrigiert)                  , , , , b =                    , 7.7800E-03, Pa m          ,                                      ,                                      , , , 
8.725E+02, kg/m³, Dichte des Öls r1                                       , , , ,                        ,           ,               ,                                      ,                                      , , , 
1.29E+00 , kg/m³, Dichte der Luft r2                                      , , , ,                        ,           ,               ,                                      ,                                      , , , 
9.81     , m/s² , Erdbeschleunigung g                                     , , , ,                        ,           ,               ,                                      ,                                      , , , 
         ,      ,                                                         , , , ,                        ,           ,               ,                                      ,                                      , , , 
2.400    ,      , Oberere Grenze der Ladung für einfach geladene Tröpfchen, , , ,                        ,           , f             , Korrekturfaktor für h                ,                                      , , , 
         ,      , Mittelwert Q1m der einfach mit Q1 geladenen Tröpfchen   , , , ,                        ,           , Q             , Ladung der gemessenen Tröpfchen      ,                                      , , , 
         ,      ,                                                         , , , ,                        ,           , Q1            , Ladung der einfach geladenen Tröpchen,                                      , , , 
         ,      , Mittelwert Q/n für Tröpfchen mit n<6                    , , , ,                        ,           , n             , nächste ganze Zahl von Q/Q1          ,                                      , , , 
0        ,      , Zahl der Tröpfchen mit n<6                              , , , ,                        ,           ,               ,                                      ,                                      , , , 
         ,      , Standardabweichung einer Einzelmessung                  , , , ,                        ,           ,               ,                                      ,                                      , , , 
         ,      , Standardabweichung des Mittelwertes                     , , , ,                        ,           ,               ,                                      ,                                      , , , 
         ,      , Mittelwert von f für Tröpfchen mit n<6                  , , , ,                        ,           ,               ,                                      ,                                      , , , 
